X1 t.l t.u ic rc
-0.69 13 -1 0 1
-0.69 13 -1 0 1
-0.69 13 -1 0 1
-0.69 13 -1 0 1
-0.69 13 -1 0 1
-0.69 13 -1 0 1
-0.22 0 1 1 0
-0.22 0 1 1 0
-0.22 0 1 1 0
-0.22 0 1 1 0
-0.22 1 2 1 0
-0.22 1 2 1 0
-0.22 1 2 1 0
-0.22 1 2 1 0
-0.22 1 2 1 0
-0.22 1 2 1 0
-0.22 1 2 1 0
-0.22 1 2 1 0
-0.22 1 2 1 0
-0.22 1 2 1 0
-0.22 2 3 1 0
-0.22 2 3 1 0
-0.22 2 3 1 0
-0.22 2 3 1 0
-0.22 2 3 1 0
-0.22 2 3 1 0
-0.22 2 3 1 0
-0.22 2 3 1 0
-0.22 3 4 1 0
-0.22 3 4 1 0
-0.22 3 4 1 0
-0.22 3 4 1 0
-0.22 3 4 1 0
-0.22 3 4 1 0
-0.22 3 4 1 0
-0.22 3 4 1 0
-0.22 3 4 1 0
-0.22 3 4 1 0
-0.22 3 4 1 0
-0.22 3 4 1 0
-0.22 3 4 1 0
-0.22 3 4 1 0
-0.22 4 5 1 0
-0.22 4 5 1 0
-0.22 4 5 1 0
-0.22 4 5 1 0
-0.22 4 5 1 0
-0.22 4 5 1 0
-0.22 4 5 1 0
-0.22 4 5 1 0
-0.22 5 6 1 0
-0.22 5 6 1 0
-0.22 6 7 1 0
-0.22 9 10 1 0
-0.22 13 -1 0 1
-0.22 13 -1 0 1
